map_id,name,status,purpose,investor,country,capacity,energy,year,province,district,commune,size_scale,detail_status,eia_date,eia_status,reference,additional_references,last_update,language
11,Stung Sen,Under study,Hydropower dam,Royal Group (Cambodia),Cambodia,38,201,2015,Preah Vihear,Rovieng,Robieb,Medium scale,"[Not found] Under study;
[2003] Identified as potential hydropower project by MIME",Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,22-Jun-15,English
12,Stung Battambang I,Under study,Hydropower dam,KTC (Korea),Korea,24,120,2017,Battambang,Ratanak Mondul,Phlov Meas,Medium scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://en.wikipedia.org/wiki/Stung_Battambang_1_Dam,7-Jul-16,English
13,Stung Battambang II,Under study,Hydropower dam,KTC (Korea),Korea,36,187,2019,Battambang,Samlot,Kampong Lpov,Medium scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,7-Jul-16,English
14,Stung Pursat I,Under study,Hydropower dam,KTC (Korea),Korean,40,Not found,2017,Pursat,Veal Veng,O'Som,Large scale,"[Not found] Under study;
[2003] Identified as potential hydropower project by MIME",Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,7-Jul-16,English
15,Stung Meteuk I,Potential site,Hydropower dam,not found,Not found,175,350,,Pursat,Veal Veng,Thma Da,Large scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,22-Jun-15,English
16,Stung Meteuk II,Potential site,Hydropower dam,not found,Not found,210,384,,Pursat,Veal Veng,Thma Da,Large scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,http://tnmckc.org/upload/document/bdp/2/2.7/BDP%20Publications/BDP-pubs/BDP12f-Hydropower-Nov02.pdf,22-Jun-15,English
17,Stung Meteuk III,Potential site,Hydropower dam,not found,Not found,50,105,,Koh Kong,Mondul Seima,Pak Khlang,Large scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,22-Jun-15,English
18,Upper Stung Russei Chrum,Potential site,Hydropower dam,KTC (Korea),Korea,32,211,2017,Koh Kong,Thma Bang,Tatey Leu,Medium scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,22-Jun-15,English
19,Middle Stung Russei Chrum,Under study,Hydropower dam,KTC (Korea),Korea,125,668,2018,Koh Kong,Thma Bang,Tatey Leu,Large scale,[2003] Identified as potential hydropower project by MIME,Not found,Not found,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,7-Jul-16,English
20,Stung Tatay,Operational,Hydropower dam,Cambodia Hydropower Limited (China),China,246,Not found,2013,Koh Kong,Thma Bang,Pralay,Large scale,"[2014] Dam announced operational by China National Heavy Machinery Corporation;
[2010] Construction begun by China National Heavy Machinery Corporation;",Sep 2010;Jul 2010,Feasibility Study;Final,JICA_Data_Collection_Survey_on_Electric_Power_Sector_in_Cambodia_Final_Report__2012.pdf;EDC_Anual_Report_2014__00.00.2014.pdf;3rivers__16.02.2015.pdf;shanghaidaily_6th_china_built_hydropower_dam_in_cambodia_starts_operation__20.08.2014.pdf;List_of_EIAs_NGOF__09.11.2014.pdf;list-of-eias-on-september-2013;Hydropower_Development_in_Cambodia__01.12.2011.pdf;Progress_of_Cambodia_Power_Development__26.11.2009.pdf;Training_and_Workshop_on_Small_Hydro_Power__06.07.2011.pdf,,1-Jun-15,English
